subject,predicate,object
Radioactive,rdf:type,Movie
Radioactive,crm:P102_has_title,Radioactive
Radioactive,schema:director,Marjane Satrapi
Radioactive,schema:author,Jack Thorne
Radioactive,schema:author,Lauren Redniss
Radioactive,schema:actor,Rosamund Pike
Radioactive,schema:actor,Yvette Feuer
Radioactive,schema:actor,Mirjiam Novak
Radioactive,dc:created,2019
Radioactive,fabio:hasPublicationYear    ,2020
Radioactive,dbo:mainCharacter,Marie Curie
Radioactive,schema:contentLocation,Paris
Radioactive,fabio:hasLanguage,English
Radioactive,schema:genre,Biography
Radioactive,schema:genre,Drama
Radioactive,schema:genre,Romance
Radioactive,schema:duration,"00:01:49:00"
Radioactive,schema:productionCompany,StudioCanal
Radioactive,schema:productionCompany,Working Title Films
Radioactive,schema:productionCompany,Amazon Studios
Radioactive,schema:isBasedOn,Radioactive: Marie & Pierre Curie: A Tale of Love and Fallout
