subject,predicate,object
French Army X-Ray Ambulance,rdf:type,Film
French Army X-Ray Ambulance,dc:subject,France
French Army X-Ray Ambulance,dc:subject,Medicine and Health
French Army X-Ray Ambulance,dc:subject,Vehicles
French Army X-Ray Ambulance,dc:subject,X-Rays
French Army X-Ray Ambulance,crm:P102_has_title,French Army X-Ray Ambulance
French Army X-Ray Ambulance,crm:P94_was_created_by,Unknown
French Army X-Ray Ambulance,dc:created,26/04/1915
French Army X-Ray Ambulance,crm:P50_cìhas_current_keeper,British Paté featuring Reuters® Historical Collection
French Army X-Ray Ambulance,schema:duration,00:00:30:00
French Army X-Ray Ambulance,schema:isRelatedTo,X-Ray Vehicle: Little Curie
French Army X-Ray Ambulance,dc:temporal,World War I
